id,ciudad,zona,latitud,longitud
1,CALI,Sur,3.401855768,-76.52861767
2,CALI,Sur,3.401855768,-76.52861767
3,CALI,Sur,3.371824262,-76.55323809
4,CALI,Sur,3.371824262,-76.55323809
5,CALI,Oriente,3.431860526,-76.49328131
6,CALI,Sur,3.369657766,-76.51707807
7,CALI,Sur,3.369657766,-76.51707807
8,CALI,Oriente,3.42694,-76.49112802
9,CALI,Oeste,3.447242265,-76.55258069
10,CALI,Oeste,3.433103863,-76.55358032
11,CALI,Sur,3.371092525,-76.51571095
12,CALI,Sur,3.371092525,-76.51571095
13,CALI,Sur,3.356910761,-76.52313435
14,CALI,Sur,3.415167688,-76.54571123
15,CALI,Sur,3.415167688,-76.54571123
16,CALI,Sur,3.369754637,-76.51574741
17,CALI,Sur,3.369754637,-76.51574741
18,CALI,Oeste,3.433851076,-76.55022062
19,CALI,Oeste,3.429904137,-76.55396589
20,CALI,Sur,3.379455796,-76.52385595
21,CALI,Sur,3.379455796,-76.52385595
22,CALI,Oeste,3.447389471,-76.55321032
23,CALI,Norte,3.462706705,-76.53459479
24,CALI,Oeste,3.44071685,-76.54752955
25,CALI,Sur,3.36049,-76.53108
26,CALI,Sur,3.36049,-76.53108
27,CALI,Sur,3.4033,-76.55189
28,CALI,Sur,3.4033,-76.55189
29,CALI,Norte,3.488785007,-76.52214754
31,CALI,Oeste,3.449264624,-76.55067701
32,CALI,Oriente,3.42919,-76.48986
33,CALI,Sur,3.433352071,-76.54653723
34,CALI,Sur,3.433352071,-76.54653723
35,CALI,Norte,3.467693337,-76.53332458
36,CALI,Sur,3.369751133,-76.51470035
37,CALI,Sur,3.369751133,-76.51470035
38,CALI,Oeste,3.449179688,-76.55515846
39,CALI,Oeste,3.448812277,-76.55584717
40,CALI,Sur,3.3345246,-76.536233
41,CALI,Sur,3.3345246,-76.536233
42,CALI,Norte,3.463630532,-76.53378178
43,CALI,Oeste,3.447477108,-76.55451417
44,CALI,Sur,3.335328582,-76.53643271
45,CALI,Sur,3.335328582,-76.53643271
46,CALI,Sur,3.399146187,-76.55729926
47,CALI,Sur,3.399146187,-76.55729926
48,CALI,Sur,3.394267784,-76.52459464
49,CALI,Sur,3.394267784,-76.52459464
50,CALI,Norte,3.467747654,-76.48571105
51,CALI,Sur,3.350553669,-76.52848609
52,CALI,Sur,3.350553669,-76.52848609
